task_id,job_id,stage,arm,config_id,config,pop_size,ls_time_limit_s,deadline_mode,solver_seed,budget_s,pilot_idx,pop_idx,instance,instance_sha256,batch,cell_id,gen_seed,m,oracle_cost,rc2_solve_s,rc2_tier,analysis_group
49,m2p_p40ls0p5_i06_s1,pilot,p40_ls0p5,memetic_deeppolish,configs/tier2/memetic_deeppolish.yaml,40,0.5,,1,900,6,32,data/generated/calib_b/wksat_v150_k2_sr3.30_hr0.00_w1_uniform_s4.wcnf,dc29e62067d58db204c2488783e033ba5244cd652ef1d124dcc4f5bf31e8a04d,calib_b,max2sat_n150_a3.3,4,495,28,226.564,T2a,tier2
50,m2p_p40ls2p5_i06_s1,pilot,p40_ls2p5,memetic_deeppolish_p40_ls2p5,configs/tier2/memetic_deeppolish_p40_ls2p5.yaml,40,2.5,clip,1,900,6,32,data/generated/calib_b/wksat_v150_k2_sr3.30_hr0.00_w1_uniform_s4.wcnf,dc29e62067d58db204c2488783e033ba5244cd652ef1d124dcc4f5bf31e8a04d,calib_b,max2sat_n150_a3.3,4,495,28,226.564,T2a,tier2
51,m2p_p10ls2p5_i06_s1,pilot,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,1,900,6,32,data/generated/calib_b/wksat_v150_k2_sr3.30_hr0.00_w1_uniform_s4.wcnf,dc29e62067d58db204c2488783e033ba5244cd652ef1d124dcc4f5bf31e8a04d,calib_b,max2sat_n150_a3.3,4,495,28,226.564,T2a,tier2
52,m2p_p40ls0p5_i06_s2,pilot,p40_ls0p5,memetic_deeppolish,configs/tier2/memetic_deeppolish.yaml,40,0.5,,2,900,6,32,data/generated/calib_b/wksat_v150_k2_sr3.30_hr0.00_w1_uniform_s4.wcnf,dc29e62067d58db204c2488783e033ba5244cd652ef1d124dcc4f5bf31e8a04d,calib_b,max2sat_n150_a3.3,4,495,28,226.564,T2a,tier2
53,m2p_p40ls2p5_i06_s2,pilot,p40_ls2p5,memetic_deeppolish_p40_ls2p5,configs/tier2/memetic_deeppolish_p40_ls2p5.yaml,40,2.5,clip,2,900,6,32,data/generated/calib_b/wksat_v150_k2_sr3.30_hr0.00_w1_uniform_s4.wcnf,dc29e62067d58db204c2488783e033ba5244cd652ef1d124dcc4f5bf31e8a04d,calib_b,max2sat_n150_a3.3,4,495,28,226.564,T2a,tier2
54,m2p_p10ls2p5_i06_s2,pilot,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,2,900,6,32,data/generated/calib_b/wksat_v150_k2_sr3.30_hr0.00_w1_uniform_s4.wcnf,dc29e62067d58db204c2488783e033ba5244cd652ef1d124dcc4f5bf31e8a04d,calib_b,max2sat_n150_a3.3,4,495,28,226.564,T2a,tier2
55,m2p_p40ls0p5_i06_s3,pilot,p40_ls0p5,memetic_deeppolish,configs/tier2/memetic_deeppolish.yaml,40,0.5,,3,900,6,32,data/generated/calib_b/wksat_v150_k2_sr3.30_hr0.00_w1_uniform_s4.wcnf,dc29e62067d58db204c2488783e033ba5244cd652ef1d124dcc4f5bf31e8a04d,calib_b,max2sat_n150_a3.3,4,495,28,226.564,T2a,tier2
56,m2p_p40ls2p5_i06_s3,pilot,p40_ls2p5,memetic_deeppolish_p40_ls2p5,configs/tier2/memetic_deeppolish_p40_ls2p5.yaml,40,2.5,clip,3,900,6,32,data/generated/calib_b/wksat_v150_k2_sr3.30_hr0.00_w1_uniform_s4.wcnf,dc29e62067d58db204c2488783e033ba5244cd652ef1d124dcc4f5bf31e8a04d,calib_b,max2sat_n150_a3.3,4,495,28,226.564,T2a,tier2
57,m2p_p10ls2p5_i06_s3,pilot,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,3,900,6,32,data/generated/calib_b/wksat_v150_k2_sr3.30_hr0.00_w1_uniform_s4.wcnf,dc29e62067d58db204c2488783e033ba5244cd652ef1d124dcc4f5bf31e8a04d,calib_b,max2sat_n150_a3.3,4,495,28,226.564,T2a,tier2
58,m2p_p40ls0p5_i07_s1,pilot,p40_ls0p5,memetic_deeppolish,configs/tier2/memetic_deeppolish.yaml,40,0.5,,1,900,7,69,data/generated/calib_b/wksat_v70_k3_sr6.50_hr0.00_w1_uniform_s4.wcnf,fc125f4de8ed58b088b5f719e9931c060234609c5ae0ece87044ebd72b964f87,calib_b,max3sat_n70_a6.5,4,455,7,217.782,T2a,tier2
59,m2p_p40ls2p5_i07_s1,pilot,p40_ls2p5,memetic_deeppolish_p40_ls2p5,configs/tier2/memetic_deeppolish_p40_ls2p5.yaml,40,2.5,clip,1,900,7,69,data/generated/calib_b/wksat_v70_k3_sr6.50_hr0.00_w1_uniform_s4.wcnf,fc125f4de8ed58b088b5f719e9931c060234609c5ae0ece87044ebd72b964f87,calib_b,max3sat_n70_a6.5,4,455,7,217.782,T2a,tier2
60,m2p_p10ls2p5_i07_s1,pilot,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,1,900,7,69,data/generated/calib_b/wksat_v70_k3_sr6.50_hr0.00_w1_uniform_s4.wcnf,fc125f4de8ed58b088b5f719e9931c060234609c5ae0ece87044ebd72b964f87,calib_b,max3sat_n70_a6.5,4,455,7,217.782,T2a,tier2
61,m2p_p40ls0p5_i07_s2,pilot,p40_ls0p5,memetic_deeppolish,configs/tier2/memetic_deeppolish.yaml,40,0.5,,2,900,7,69,data/generated/calib_b/wksat_v70_k3_sr6.50_hr0.00_w1_uniform_s4.wcnf,fc125f4de8ed58b088b5f719e9931c060234609c5ae0ece87044ebd72b964f87,calib_b,max3sat_n70_a6.5,4,455,7,217.782,T2a,tier2
62,m2p_p40ls2p5_i07_s2,pilot,p40_ls2p5,memetic_deeppolish_p40_ls2p5,configs/tier2/memetic_deeppolish_p40_ls2p5.yaml,40,2.5,clip,2,900,7,69,data/generated/calib_b/wksat_v70_k3_sr6.50_hr0.00_w1_uniform_s4.wcnf,fc125f4de8ed58b088b5f719e9931c060234609c5ae0ece87044ebd72b964f87,calib_b,max3sat_n70_a6.5,4,455,7,217.782,T2a,tier2
