task_id,job_id,stage,arm,config_id,config,pop_size,ls_time_limit_s,deadline_mode,solver_seed,budget_s,pilot_idx,pop_idx,instance,instance_sha256,batch,cell_id,gen_seed,m,oracle_cost,rc2_solve_s,rc2_tier,analysis_group
35,m2f_p10ls2p5_012_s2,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,2,900,,12,data/generated/calib_a/wksat_v50_k3_sr8.00_hr0.00_w1_uniform_s2.wcnf,308041817cf320b05bb62a0225928a6c600855e2f9fa5b153966fee2096921fa,calib_a,max3sat_n50_a8,2,400,10,88.686,T2a,tier2
36,m2f_p10ls2p5_012_s3,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,3,900,,12,data/generated/calib_a/wksat_v50_k3_sr8.00_hr0.00_w1_uniform_s2.wcnf,308041817cf320b05bb62a0225928a6c600855e2f9fa5b153966fee2096921fa,calib_a,max3sat_n50_a8,2,400,10,88.686,T2a,tier2
37,m2f_p10ls2p5_013_s1,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,1,900,,13,data/generated/calib_a/wksat_v50_k3_sr8.00_hr0.00_w1_uniform_s4.wcnf,4847f9a215a190a115626c51f6a99a8be32098f8ef0310390c504ed20911cd48,calib_a,max3sat_n50_a8,4,400,11,76.107,T2a,tier2
38,m2f_p10ls2p5_013_s2,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,2,900,,13,data/generated/calib_a/wksat_v50_k3_sr8.00_hr0.00_w1_uniform_s4.wcnf,4847f9a215a190a115626c51f6a99a8be32098f8ef0310390c504ed20911cd48,calib_a,max3sat_n50_a8,4,400,11,76.107,T2a,tier2
39,m2f_p10ls2p5_013_s3,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,3,900,,13,data/generated/calib_a/wksat_v50_k3_sr8.00_hr0.00_w1_uniform_s4.wcnf,4847f9a215a190a115626c51f6a99a8be32098f8ef0310390c504ed20911cd48,calib_a,max3sat_n50_a8,4,400,11,76.107,T2a,tier2
40,m2f_p10ls2p5_014_s1,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,1,900,,14,data/generated/calib_a/wksat_v50_k3_sr8.00_hr0.00_w1_uniform_s5.wcnf,b0f53015b9d1889879a0f94a6b675413b63618fa83da28e1df0ef2b3d383a7cf,calib_a,max3sat_n50_a8,5,400,9,32.836,T1,lower_ext
41,m2f_p10ls2p5_014_s2,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,2,900,,14,data/generated/calib_a/wksat_v50_k3_sr8.00_hr0.00_w1_uniform_s5.wcnf,b0f53015b9d1889879a0f94a6b675413b63618fa83da28e1df0ef2b3d383a7cf,calib_a,max3sat_n50_a8,5,400,9,32.836,T1,lower_ext
42,m2f_p10ls2p5_014_s3,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,3,900,,14,data/generated/calib_a/wksat_v50_k3_sr8.00_hr0.00_w1_uniform_s5.wcnf,b0f53015b9d1889879a0f94a6b675413b63618fa83da28e1df0ef2b3d383a7cf,calib_a,max3sat_n50_a8,5,400,9,32.836,T1,lower_ext
43,m2f_p10ls2p5_015_s1,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,1,900,,15,data/generated/calib_a/wksat_v70_k3_sr6.00_hr0.00_w1_uniform_s2.wcnf,55084c5ac6ab8ef8886112e05dd9d245542c0653b33fb106619a3e6fe81a11ee,calib_a,max3sat_n70_a6,2,420,7,159.513,T2a,tier2
44,m2f_p10ls2p5_015_s2,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,2,900,,15,data/generated/calib_a/wksat_v70_k3_sr6.00_hr0.00_w1_uniform_s2.wcnf,55084c5ac6ab8ef8886112e05dd9d245542c0653b33fb106619a3e6fe81a11ee,calib_a,max3sat_n70_a6,2,420,7,159.513,T2a,tier2
45,m2f_p10ls2p5_015_s3,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,3,900,,15,data/generated/calib_a/wksat_v70_k3_sr6.00_hr0.00_w1_uniform_s2.wcnf,55084c5ac6ab8ef8886112e05dd9d245542c0653b33fb106619a3e6fe81a11ee,calib_a,max3sat_n70_a6,2,420,7,159.513,T2a,tier2
46,m2f_p10ls2p5_016_s1,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,1,900,,16,data/generated/calib_a/wksat_v70_k3_sr6.00_hr0.00_w1_uniform_s4.wcnf,1d11385905c08c0afe97508f3b2167e7b45d7382d472300c7d8f07333a610f8e,calib_a,max3sat_n70_a6,4,420,6,53.3,T1,lower_ext
47,m2f_p10ls2p5_016_s2,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,2,900,,16,data/generated/calib_a/wksat_v70_k3_sr6.00_hr0.00_w1_uniform_s4.wcnf,1d11385905c08c0afe97508f3b2167e7b45d7382d472300c7d8f07333a610f8e,calib_a,max3sat_n70_a6,4,420,6,53.3,T1,lower_ext
48,m2f_p10ls2p5_016_s3,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,3,900,,16,data/generated/calib_a/wksat_v70_k3_sr6.00_hr0.00_w1_uniform_s4.wcnf,1d11385905c08c0afe97508f3b2167e7b45d7382d472300c7d8f07333a610f8e,calib_a,max3sat_n70_a6,4,420,6,53.3,T1,lower_ext
49,m2f_p10ls2p5_017_s1,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,1,900,,17,data/generated/calib_a/wksat_v70_k3_sr6.00_hr0.00_w1_uniform_s5.wcnf,ef29b3a0a96cc809785c9cfe729a17b008ec29831b9cb4a57a093492454a0bb1,calib_a,max3sat_n70_a6,5,420,6,75.355,T2a,tier2
